portfolio,start,end,n_obs,n_assets,cholesky_dim,slope,sigma_isotropic,intercept,r_squared
Technology,2012-08-16,2025-05-30,3215,10,45,0.10184343555326687,0.04757296981206097,8.627183864538829,0.9982167401228511
Old Economy,2007-08-29,2025-05-30,4467,10,45,0.11776809873892818,0.0511572952848865,-15.273362140382638,0.9975097321117178
Finance,2007-08-29,2025-05-30,4467,10,45,0.07095833904765103,0.03970959555115979,2.817894924721827,0.9987796718925356
Commodities,2011-09-22,2025-05-30,3442,10,45,0.10896584580579641,0.04920836555026807,-3.8645812525155465,0.998757129608664
